population_id,step,K,mu
0,0,50,0.07
0,1,50.1,0.0699605345685654
0,2,50.2,0.0698422940262896
0,3,50.3,0.0696457450145738
0,4,50.4,0.0693716632225726
0,5,50.5,0.0690211303259031
0,6,50.6,0.068595529717765
0,7,50.7,0.0680965410493204
0,8,50.8,0.0675261336008773
0,9,50.9,0.0668865585100403
0,10,51,0.066180339887499
0,11,51.1,0.0654102648555158
0,12,51.2,0.0645793725484282
0,13,51.3,0.0636909421185738
0,14,51.4,0.0627484797949738
0,15,51.5,0.0617557050458495
0,16,51.6,0.0607165358995799
0,17,51.7,0.0596350734820343
0,18,51.8,0.0585155858313015
0,19,51.9,0.0573624910536936
0,20,52,0.056180339887499
0,21,52.1,0.0549737977432971
0,22,52.2,0.0537476262917145
0,23,52.3,0.0525066646712861
0,24,52.4,0.0512558103905863
0,25,52.5,0.05
0,26,52.6,0.0487441896094137
0,27,52.7,0.0474933353287139
0,28,52.8,0.0462523737082855
0,29,52.9,0.0450262022567029
0,30,53,0.0438196601125011
0,31,53.1,0.0426375089463064
0,32,53.2,0.0414844141686985
0,33,53.3,0.0403649265179657
0,34,53.4,0.0392834641004201
0,35,53.5,0.0382442949541505
0,36,53.6,0.0372515202050262
0,37,53.7,0.0363090578814262
0,38,53.8,0.0354206274515718
0,39,53.9,0.0345897351444842
0,40,54,0.0338196601125011
0,41,54.1,0.0331134414899597
0,42,54.2,0.0324738663991227
0,43,54.3,0.0319034589506796
0,44,54.4,0.031404470282235
0,45,54.5,0.0309788696740969
0,46,54.6,0.0306283367774274
0,47,54.7,0.0303542549854262
0,48,54.8,0.0301577059737104
0,49,54.9,0.0300394654314346
0,50,55,0.03
0,51,55.1,0.0300394654314346
0,52,55.2,0.0301577059737104
0,53,55.3,0.0303542549854262
0,54,55.4,0.0306283367774274
0,55,55.5,0.0309788696740969
0,56,55.6,0.031404470282235
0,57,55.7,0.0319034589506796
0,58,55.8,0.0324738663991227
0,59,55.9,0.0331134414899597
0,60,56,0.0338196601125011
0,61,56.1,0.0345897351444842
0,62,56.2,0.0354206274515718
0,63,56.3,0.0363090578814262
0,64,56.4,0.0372515202050262
0,65,56.5,0.0382442949541505
0,66,56.6,0.0392834641004201
0,67,56.7,0.0403649265179657
0,68,56.8,0.0414844141686986
0,69,56.9,0.0426375089463064
0,70,57,0.0438196601125011
0,71,57.1,0.0450262022567029
0,72,57.2,0.0462523737082855
0,73,57.3,0.0474933353287139
0,74,57.4,0.0487441896094137
0,75,57.5,0.05
0,76,57.6,0.0512558103905863
0,77,57.7,0.0525066646712861
0,78,57.8,0.0537476262917145
0,79,57.9,0.0549737977432971
0,80,58,0.0561803398874989
0,81,58.1,0.0573624910536936
0,82,58.2,0.0585155858313014
0,83,58.3,0.0596350734820343
0,84,58.4,0.0607165358995799
0,85,58.5,0.0617557050458495
0,86,58.6,0.0627484797949738
0,87,58.7,0.0636909421185738
0,88,58.8,0.0645793725484282
0,89,58.9,0.0654102648555158
0,90,59,0.066180339887499
0,91,59.1,0.0668865585100403
0,92,59.2,0.0675261336008773
0,93,59.3,0.0680965410493204
0,94,59.4,0.068595529717765
0,95,59.5,0.0690211303259031
0,96,59.6,0.0693716632225726
0,97,59.7,0.0696457450145738
0,98,59.8,0.0698422940262896
0,99,59.9,0.0699605345685654
0,100,60,0.07
0,101,60.1,0.0699605345685654
0,102,60.2,0.0698422940262896
0,103,60.3,0.0696457450145738
0,104,60.4,0.0693716632225726
0,105,60.5,0.0690211303259031
0,106,60.6,0.068595529717765
0,107,60.7,0.0680965410493204
0,108,60.8,0.0675261336008773
0,109,60.9,0.0668865585100403
0,110,61,0.066180339887499
0,111,61.1,0.0654102648555158
0,112,61.2,0.0645793725484282
0,113,61.3,0.0636909421185738
0,114,61.4,0.0627484797949738
0,115,61.5,0.0617557050458495
0,116,61.6,0.0607165358995799
0,117,61.7,0.0596350734820343
0,118,61.8,0.0585155858313015
0,119,61.9,0.0573624910536936
0,120,62,0.056180339887499
0,121,62.1,0.0549737977432971
0,122,62.2,0.0537476262917145
0,123,62.3,0.0525066646712861
0,124,62.4,0.0512558103905863
0,125,62.5,0.05
0,126,62.6,0.0487441896094137
0,127,62.7,0.0474933353287139
0,128,62.8,0.0462523737082855
0,129,62.9,0.0450262022567029
0,130,63,0.0438196601125011
0,131,63.1,0.0426375089463065
0,132,63.2,0.0414844141686985
0,133,63.3,0.0403649265179657
0,134,63.4,0.0392834641004201
0,135,63.5,0.0382442949541505
0,136,63.6,0.0372515202050262
0,137,63.7,0.0363090578814262
0,138,63.8,0.0354206274515718
0,139,63.9,0.0345897351444842
